FORMAT 2
KERNEL J
SOURCE (s|J|s)^(m)
SHELLS 5 4
ORDERS 5 9

# E <id> <alpha> <beta> <mu> <p>
T 4  -35 221 1  78  9
T 4  -35 2431 22  89  9
T 4  -1 78 10  79  9
T 4  -1 39 30  91  9
T 4  1 78 70  80  9
ROW -1 -2 22
T 0  105 16 3  0  5
T 1  129 16 2  3  6
T 1  45 16 30  6  6
T 1  -21 2 3  4  6
T 2  -5 2 5  13  7
T 2  -43 8 2  14  7
T 2  -15 8 30  19  7
T 2  9 2 3  15  7
T 3  145 858 21  34  8
T 3  -5 22 7  41  8
T 3  10 13 5  35  8
T 3  43 44 2  36  8
T 3  15 44 30  44  8
T 3  -2 3 3  37  8
T 4  98 2431 15  70  9
T 4  21 2431 770  81  9
T 4  -145 7293 21  72  9
T 4  5 187 7  83  9
T 4  -2 39 5  73  9
T 4  -43 858 2  74  9
T 4  -5 286 30  86  9
T 4  1 33 3  75  9
ROW -1 -1 25
T 0  -105 8 6  2  5
T 1  57 8 6  11  6
T 1  -75 16 10  5  6
T 1  21 1 6  12  6
T 2  -5 4 6  30  7
T 2  5 8 70  16  7
T 2  -19 4 6  31  7
T 2  25 8 10  17  7
T 2  -9 1 6  32  7
T 3  -35 429 6  64  8
T 3  -125 286 7  38  8
T 3  5 13 6  65  8
T 3  -5 26 70  39  8
T 3  19 22 6  66  8
T 3  -25 44 10  40  8
T 3  4 3 6  67  8
T 4  294 2431 6  117  9
T 4  49 2431 165  76  9
T 4  70 7293 6  118  9
T 4  125 2431 7  78  9
T 4  -1 39 6  119  9
T 4  1 78 70  79  9
T 4  -19 429 6  120  9
T 4  25 858 10  80  9
T 4  -2 33 6  121  9
ROW -1 0 15
T 0  -105 16 15  1  5
T 1  33 8 10  9  6
T 1  21 2 15  10  6
T 2  -5 1 1  27  7
T 2  -11 4 10  28  7
T 2  -9 2 15  29  7
T 3  5 39 105  60  8
T 3  20 13 1  61  8
T 3  1 2 10  62  8
T 3  2 3 15  63  8
T 4  -490 2431 3  112  9
T 4  -10 663 105  113  9
T 4  -4 39 1  114  9
T 4  -1 39 10  115  9
T 4  -1 33 15  116  9
ROW -1 1 10
T 1  75 16 10  8  6
T 2  -5 8 70  25  7
T 2  -25 8 10  26  7
T 3  125 286 7  57  8
T 3  5 26 70  58  8
T 3  25 44 10  59  8
T 4  -49 2431 165  107  9
T 4  -125 2431 7  108  9
T 4  -1 78 70  109  9
T 4  -25 858 10  110  9
ROW -1 2 22
T 0  -105 16 3  1  5
T 1  -45 16 30  7  6
T 1  -129 16 2  9  6
T 1  21 2 3  10  6
T 2  5 2 5  27  7
T 2  15 8 30  24  7
T 2  43 8 2  28  7
T 2  -9 2 3  29  7
T 3  5 22 7  54  8
T 3  -145 858 21  60  8
T 3  -10 13 5  61  8
T 3  -15 44 30  56  8
T 3  -43 44 2  62  8
T 3  2 3 3  63  8
T 4  -21 2431 770  101  9
T 4  -98 2431 15  112  9
T 4  -5 187 7  103  9
T 4  145 7293 21  113  9
T 4  2 39 5  114  9
T 4  5 286 30  105  9
T 4  43 858 2  115  9
T 4  -1 33 3  116  9
ROW -1 3 16
T 1  33 16 70  8  6
T 2  5 4 30  22  7
T 2  5 8 10  25  7
T 2  -11 8 70  26  7
T 3  -35 286 22  51  8
T 3  -35 26 1  57  8
T 3  -5 13 30  52  8
T 3  -5 26 10  58  8
T 3  1 4 70  59  8
T 4  -7 2431 4290  96  9
T 4  -7 2431 1155  107  9
T 4  35 2431 22  98  9
T 4  35 221 1  108  9
T 4  1 39 30  99  9
T 4  1 78 10  109  9
T 4  -1 78 70  110  9
ROW -1 4 16
T 1  -3 8 210  7  6
T 2  -5 4 6  21  7
T 2  -5 4 30  23  7
T 2  1 4 210  24  7
T 3  -70 143 11  48  8
T 3  -175 143 1  54  8
T 3  5 13 6  49  8
T 3  5 13 30  55  8
T 3  -1 22 210  56  8
T 4  -7 4862 6006  92  9
T 4  -21 4862 110  101  9
T 4  140 2431 11  93  9
T 4  350 2431 1  103  9
T 4  -1 39 6  94  9
T 4  -1 39 30  104  9
T 4  1 429 210  105  9
ROW 0 -4 6
T 2  -15 2 1  22  7
T 3  -70 429 165  51  8
T 3  30 13 1  52  8
T 4  -21 2431 143  96  9
T 4  140 7293 165  98  9
T 4  -2 13 1  99  9
ROW 0 -3 10
T 1  45 8 7  7  6
T 2  15 2 1  23  7
T 2  -15 4 7  24  7
T 3  -245 858 30  54  8
T 3  -30 13 1  55  8
T 3  15 22 7  56  8
T 4  -84 2431 33  101  9
T 4  245 7293 30  103  9
T 4  2 13 1  104  9
T 4  -5 143 7  105  9
ROW 0 -2 10
T 1  -15 1 3  8  6
T 2  5 4 21  25  7
T 2  10 1 3  26  7
T 3  -5 429 210  57  8
T 3  -5 13 21  58  8
T 3  -20 11 3  59  8
T 4  -147 2431 22  107  9
T 4  10 7293 210  108  9
T 4  1 39 21  109  9
T 4  40 429 3  110  9
ROW 0 -1 15
T 0  105 16 10  1  5
T 1  3 8 15  9  6
T 1  -21 2 10  10  6
T 2  -5 4 6  27  7
T 2  -1 4 15  28  7
T 2  9 2 10  29  7
T 3  115 858 70  60  8
T 3  5 13 6  61  8
T 3  1 22 15  62  8
T 3  -2 3 10  63  8
T 4  -588 2431 2  112  9
T 4  -115 7293 70  113  9
T 4  -1 39 6  114  9
T 4  -1 429 15  115  9
T 4  1 33 10  116  9
ROW 0 0 15
T 0  -525 16 1  2  5
T 1  45 2 1  11  6
T 1  105 2 1  12  6
T 2  -15 2 1  30  7
T 2  -15 1 1  31  7
T 2  -45 2 1  32  7
T 3  700 429 1  64  8
T 3  30 13 1  65  8
T 3  30 11 1  66  8
T 3  10 3 1  67  8
T 4  -882 2431 1  117  9
T 4  -1400 7293 1  118  9
T 4  -2 13 1  119  9
T 4  -20 143 1  120  9
T 4  -5 33 1  121  9
ROW 0 1 15
T 0  105 16 10  0  5
T 1  3 8 15  3  6
T 1  -21 2 10  4  6
T 2  -5 4 6  13  7
T 2  -1 4 15  14  7
T 2  9 2 10  15  7
T 3  115 858 70  34  8
T 3  5 13 6  35  8
T 3  1 22 15  36  8
T 3  -2 3 10  37  8
T 4  -588 2431 2  70  9
T 4  -115 7293 70  72  9
T 4  -1 39 6  73  9
T 4  -1 429 15  74  9
T 4  1 33 10  75  9
ROW 0 2 10
T 1  -15 1 3  5  6
T 2  5 4 21  16  7
T 2  10 1 3  17  7
T 3  -5 429 210  38  8
T 3  -5 13 21  39  8
T 3  -20 11 3  40  8
T 4  -147 2431 22  76  9
T 4  10 7293 210  78  9
T 4  1 39 21  79  9
T 4  40 429 3  80  9
ROW 0 3 10
T 1  45 8 7  6  6
T 2  15 2 1  18  7
T 2  -15 4 7  19  7
T 3  -245 858 30  41  8
T 3  -30 13 1  43  8
T 3  15 22 7  44  8
T 4  -84 2431 33  81  9
T 4  245 7293 30  83  9
T 4  2 13 1  85  9
T 4  -5 143 7  86  9
ROW 0 4 6
T 2  -15 2 1  20  7
T 3  -70 429 165  45  8
T 3  30 13 1  47  8
T 4  -21 2431 143  87  9
T 4  140 7293 165  89  9
T 4  -2 13 1  91  9
ROW 1 -4 16
T 1  3 8 210  7  6
T 2  -5 4 6  21  7
T 2  5 4 30  23  7
T 2  -1 4 210  24  7
T 3  -70 143 11  48  8
T 3  175 143 1  54  8
T 3  5 13 6  49  8
T 3  -5 13 30  55  8
T 3  1 22 210  56  8
T 4  -7 4862 6006  92  9
T 4  21 4862 110  101  9
T 4  140 2431 11  93  9
T 4  -350 2431 1  103  9
T 4  -1 39 6  94  9
T 4  1 39 30  104  9
T 4  -1 429 210  105  9
ROW 1 -3 16
T 1  -33 16 70  8  6
