FORMAT 2
KERNEL J
SOURCE (s|J|s)^(m)
SHELLS 4 6
ORDERS 6 10

# E <id> <alpha> <beta> <mu> <p>
T 4  -1 143 462  131  10
ROW -2 -6 13
T 1  15 4 66  18  7
T 2  45 88 330  44  8
T 2  -45 22 66  45  8
T 3  3 26 30  87  9
T 3  -1 13 546  55  9
T 3  -3 22 330  88  9
T 3  45 143 66  89  9
T 4  7 8398 182  151  10
T 4  -7 4199 9282  103  10
T 4  -3 247 30  152  10
T 4  2 247 546  105  10
T 4  3 374 330  153  10
T 4  -2 143 66  154  10
ROW -2 -5 13
T 1  -45 8 11  11  7
T 2  15 11 33  29  8
T 2  135 44 11  31  8
T 3  23 52 6  62  9
T 3  1 52 182  59  9
T 3  -4 11 33  64  9
T 3  -135 286 11  66  9
T 4  7 4199 273  114  10
T 4  -14 4199 4641  109  10
T 4  -23 494 6  116  10
T 4  -1 494 182  110  10
T 4  4 187 33  118  10
T 4  3 143 11  120  10
ROW -2 -4 21
T 0  105 16 105  0  6
T 1  -45 4 7  5  7
T 1  -15 2 105  6  7
T 2  115 88 6  19  8
T 2  -45 88 330  28  8
T 2  135 22 7  20  8
T 2  5 2 105  21  8
T 3  139 143 2  46  9
T 3  1 143 30030  60  9
T 3  -23 66 6  47  9
T 3  3 22 330  61  9
T 3  -135 143 7  48  9
T 3  -10 33 105  49  9
T 4  14 4199 231  90  10
T 4  -14 4199 6006  111  10
T 4  -278 2717 2  92  10
T 4  -2 2717 30030  112  10
T 4  23 1122 6  93  10
T 4  -3 374 330  113  10
T 4  6 143 7  94  10
T 4  5 429 105  95  10
ROW -2 -3 21
T 0  315 16 14  1  6
T 1  -15 8 105  7  7
T 1  -45 2 14  8  7
T 2  -15 11 2  22  8
T 2  -15 11 33  30  8
T 2  45 44 105  23  8
T 2  15 2 14  24  8
T 3  127 572 42  50  9
T 3  27 572 858  63  9
T 3  4 11 2  51  9
T 3  4 11 33  65  9
T 3  -45 286 105  52  9
T 3  -10 11 14  53  9
T 4  7 4199 2310  96  10
T 4  -35 4199 1001  115  10
T 4  -127 5434 42  98  10
T 4  -27 5434 858  117  10
T 4  -4 187 2  99  10
T 4  -4 187 33  119  10
T 4  1 143 105  100  10
T 4  5 143 14  101  10
ROW -2 -2 21
T 0  105 8 42  2  6
T 1  -15 4 30  18  7
T 1  -15 1 42  10  7
T 2  -5 4 42  25  8
T 2  -115 88 6  44  8
T 2  45 22 30  45  8
T 2  5 1 42  27  8
T 3  3 11 42  54  9
T 3  37 286 66  87  9
T 3  1 3 42  56  9
T 3  23 66 6  88  9
T 3  -45 143 30  89  9
T 3  -20 33 42  58  9
T 4  105 4199 42  102  10
T 4  -21 8398 10010  151  10
T 4  -6 209 42  104  10
T 4  -37 2717 66  152  10
T 4  -1 51 42  106  10
T 4  -23 1122 6  153  10
T 4  2 143 30  154  10
T 4  10 429 42  108  10
ROW -2 -1 25
T 0  -105 16 35  1  6
T 1  -45 16 42  7  7
T 1  -195 16 6  11  7
T 1  15 2 35  8  7
T 2  35 11 5  22  8
T 2  15 11 2  29  8
T 2  135 88 42  23  8
T 2  585 88 6  31  8
T 2  -5 2 35  24  8
T 3  -23 286 105  50  9
T 3  3 22 11  62  9
T 3  -28 33 5  51  9
T 3  -4 11 2  64  9
T 3  -135 572 42  52  9
T 3  -45 44 6  66  9
T 3  10 33 35  53  9
T 4  -42 4199 231  96  10
T 4  -21 4199 2002  114  10
T 4  23 2717 105  98  10
T 4  -3 209 11  116  10
T 4  28 561 5  99  10
T 4  4 187 2  118  10
T 4  3 286 42  100  10
T 4  1 22 6  120  10
T 4  -5 429 35  101  10
ROW -2 0 15
T 0  105 16 15  3  6
T 1  165 4 1  14  7
T 1  -15 2 15  15  7
T 2  -5 4 42  38  8
T 2  -45 2 1  39  8
T 2  5 2 15  40  8
T 3  12 143 14  76  9
T 3  1 3 42  78  9
T 3  45 13 1  79  9
T 3  -10 33 15  80  9
