FORMAT 1
KERNEL S
SOURCE (s|S|s)
SHELLS 5 6

# E <id> <alpha> <beta> <mu> <p>
T 2  165 52 42  133
T 2  -105 22 6  134
T 3  -189 9724 4290  105
T 3  1197 9724 154  136
T 3  -240 2431 385  106
T 3  -210 2431 35  138
T 3  3 26 210  107
T 3  -11 26 42  139
T 3  70 143 6  140
T 4  -12 4199 2145  108
T 4  6 4199 2002  142
T 4  9 4862 4290  109
T 4  -57 4862 154  144
T 4  240 46189 385  110
T 4  210 46189 35  146
T 4  -1 221 210  111
T 4  11 663 42  147
T 4  -7 429 6  148
ROW -4 2 21
T 0  945 32 10  149
T 1  15 4 70  150
T 1  -105 4 10  151
T 2  15 44 1001  113
T 2  -735 286 7  152
T 2  -45 26 70  153
T 2  315 44 10  154
T 3  -63 2431 715  116
T 3  -252 2431 165  156
T 3  -15 187 1001  118
T 3  1470 2431 7  157
T 3  3 13 70  158
T 3  -105 143 10  159
T 4  -15 4199 2431  121
T 4  -9 8398 1430  161
T 4  6 2431 715  123
T 4  24 2431 165  163
T 4  15 3553 1001  125
T 4  -1470 46189 7  164
T 4  -2 221 70  165
T 4  7 286 10  166
ROW -4 3 27
T 0  -945 8 1  167
T 0  945 32 6  168
T 1  -15 8 10  169
T 1  105 1 1  170
T 1  -135 8 6  171
T 2  315 572 286  131
T 2  210 143 42  172
T 2  45 52 10  173
T 2  -315 11 1  174
T 2  15 4 6  175
T 3  21 4862 2145  135
T 3  1827 9724 30  177
T 3  -315 2431 286  137
T 3  -840 2431 42  178
T 3  -3 26 10  179
T 3  420 143 1  180
T 3  -15 44 6  181
T 4  -6 4199 24310  141
T 4  30 4199 11  183
T 4  -1 2431 2145  143
T 4  -87 4862 30  185
T 4  315 46189 286  145
T 4  840 46189 42  186
T 4  1 221 10  187
T 4  -14 143 1  188
T 4  3 286 6  189
T 5  -945 64 6  190
ROW -4 4 3
T 3  63 2431 2431  155
T 4  -3 4199 138567  160
T 4  -6 2431 2431  162
ROW -4 5 19
T 0  945 32 110  168
T 1  45 8 66  169
T 1  -135 8 110  171
T 2  15 52 770  172
T 2  -135 52 66  173
T 2  15 4 110  175
T 3  63 442 221  176
T 3  63 748 22  177
T 3  -15 221 770  178
T 3  9 26 66  179
T 3  -15 44 110  181
T 4  -6 4199 41990  182
T 4  6 4199 15  183
T 4  -3 221 221  184
T 4  -3 374 22  185
