FORMAT 2
KERNEL J
SOURCE (s|J|s)^(m)
SHELLS 6 5
ORDERS 6 11

# E <id> <alpha> <beta> <mu> <p>
T 4  1 2 6  72  10
T 4  -70 143 15  73  10
T 4  -45 44 10  74  10
T 5  -9 4199 165  125  11
T 5  -9 4199 14586  152  11
T 5  367 4862 2  127  11
T 5  -29 2431 143  154  11
T 5  -45 3553 70  128  11
T 5  -105 46189 4290  156  11
T 5  -1 51 6  129  11
T 5  7 429 15  130  11
T 5  9 286 10  131  11
ROW -4 -2 21
T 1  945 16 1  5  7
T 2  -15 1 7  16  8
T 2  -105 2 1  17  8
T 3  435 1144 70  38  9
T 3  -15 1144 10010  69  9
T 3  90 13 7  39  9
T 3  315 22 1  40  9
T 4  861 4862 66  75  10
T 4  189 4862 286  123  10
T 4  -435 4862 70  76  10
T 4  15 4862 10010  124  10
T 4  -12 13 7  77  10
T 4  -210 143 1  78  10
T 5  18 4199 143  132  11
T 5  -6 4199 24310  200  11
T 5  -41 2431 66  134  11
T 5  -9 2431 286  201  11
T 5  435 92378 70  135  11
T 5  -15 92378 10010  202  11
T 5  8 221 7  136  11
T 5  7 143 1  137  11
ROW -4 -1 25
T 1  -315 16 42  6  7
T 2  65 8 6  18  8
T 2  -75 8 30  21  8
T 2  35 2 42  19  8
T 3  75 44 5  41  9
T 3  555 572 55  46  9
T 3  -15 4 6  42  9
T 3  225 52 30  48  9
T 3  -105 22 42  43  9
T 4  -3087 9724 22  79  10
T 4  -21 9724 30030  88  10
T 4  -75 187 5  81  10
T 4  -555 2431 55  90  10
T 4  1 2 6  82  10
T 4  -15 26 30  92  10
T 4  70 143 42  83  10
T 5  -21 4199 286  138  11
T 5  -6 4199 15015  151  11
T 5  147 4862 22  140  11
T 5  1 4862 30030  153  11
T 5  75 3553 5  142  11
T 5  555 46189 55  155  11
T 5  -1 51 6  143  11
T 5  5 221 30  157  11
T 5  -7 429 42  144  11
ROW -4 0 10
T 2  15 1 5  23  8
T 3  -300 143 33  53  9
T 3  -90 13 5  54  9
T 4  147 2431 715  101  10
T 4  1200 2431 33  102  10
T 4  12 13 5  103  10
T 5  63 4199 143  169  11
T 5  -14 2431 715  171  11
T 5  -1200 46189 33  172  11
T 5  -8 221 5  173  11
ROW -4 1 25
T 1  -315 16 42  7  7
